word	F	chapitre 01	chapitre 02	chapitre 03	chapitre 04	chapitre 05	chapitre  06	chapitre 07	chapitre 08	chapitre 09	chapitre 10	chapitre 11	chapitre 12	chapitre 13	chapitre 14	chapitre 15	chapitre 16	chapitre 17	chapitre 18	chapitre 19	chapitre 20	chapitre 21	chapitre 22	chapitre 23	chapitre 24	chapitre 25	chapitre 26	chapitre 27	chapitre 28	chapitre 29	chapitre 30
Candide	284	10	6	2	8	6	2	8	3	7	5	0	0	8	12	7	7	13	12	13	9	8	51	6	19	15	7	17	3	7	13
Cunégonde	117	8	1	3	3	0	1	5	1	6	8	0	0	11	4	2	3	1	4	5	3	1	14	2	7	1	4	10	0	4	5
Martin	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	9	21	5	15	12	5	10	0	1	12
Cacambo	63	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	9	9	13	5	0	0	0	1	2	0	4	7	0	1	3
Venise	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	6	2	4	0	8	1	1	0	0
Vous	22	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	2	1	1	0	2	0	3	1	3	0	0	1	0	0	2
Il	21	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	2	1	5	0	3	1	1	1	1	0	1	0	0
C’	20	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	7	3	1	1	0	1	0	0	1
Hélas	17	0	0	0	3	1	0	0	1	0	3	0	0	0	0	1	1	0	0	3	0	0	1	0	2	1	0	0	0	0	0
Ah	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	1	1	1	2	0	0	1
Eldorado	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	1	1	0	2	0	0	0	0	0	1
Europe	13	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	2	3	2	1	0	0	0	1	0	0	0	0	0	0
Buénos-Ayres	12	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	1	4	0	0	1	0	0	0	0	1	0	0	0
Constantinople	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	0	3
Paquette	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	4
Paris	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	2	0	0	0	0	0	0
Votre	12	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	6	0	0	0	0
Mais	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	1	2	1	0	2	0	0	1
Mon	11	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	1	1	0	0
Pangloss	11	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2
